"","project","language","article","access","agent","granularity","date","views"
"210","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-26,2060
"211","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-27,1806
"212","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-28,1819
"213","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-29,1737
"214","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-30,1490
"215","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-31,1562
"216","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-01,3496
"217","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-02,1771
"218","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-03,2023
"219","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-04,2208
"220","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-05,2421
"221","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-06,2111
"222","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-07,1993
"223","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-08,1909
"224","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-09,2414
"225","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-10,2398
"226","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-11,2430
"227","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-12,2338
"228","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-13,2169
"229","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-14,2019
"230","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-15,2588
"231","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-16,3206
"232","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-17,3234
"233","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-18,3020
"234","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-19,2622
"235","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-20,2590
"236","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-21,2680
"237","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-22,3124
"238","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-23,2921
"239","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-02-24,2415
