,project,article,granularity,access,agent,views,date
293,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,23,2018-10-21
294,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,33,2018-10-22
295,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,24,2018-10-23
296,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,21,2018-10-24
297,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,28,2018-10-25
298,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,27,2018-10-26
299,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,37,2018-10-27
300,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,21,2018-10-28
301,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-10-29
302,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,41,2018-10-30
303,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-10-31
304,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-11-01
305,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-11-02
306,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-11-03
307,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,20,2018-11-04
308,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,24,2018-11-05
309,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,20,2018-11-06
310,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,27,2018-11-07
311,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-11-08
312,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,5,2018-11-09
313,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-11-10
314,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,20,2018-11-11
315,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,20,2018-11-12
316,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,20,2018-11-13
317,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-11-14
318,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,20,2018-11-15
319,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,36,2018-11-16
320,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-11-17
321,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-11-18
322,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-11-19
323,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-11-20
324,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-11-21
325,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-11-22
326,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,35,2018-11-23
327,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-11-24
328,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-11-25
329,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,22,2018-11-26
330,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-11-27
331,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,21,2018-11-28
332,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-11-29
333,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-11-30
334,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,26,2018-12-01
335,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-12-02
336,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-12-03
337,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-12-04
338,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-12-05
